#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature
1,I Saw Her Standing There - Remastered 2009,The Beatles,69,160,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock","Folk/Acoustic, Rock",Please Please Me (Remastered),22/03/1963,02:53,49,80,27,0,97,0,0,-10,E Major,4
2,Misery - Remastered 2009,The Beatles,53,133,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock","Folk/Acoustic, Rock",Please Please Me (Remastered),22/03/1963,01:48,59,61,71,0,88,0,30,-11,C Major,4
3,Anna (Go To Him) - Remastered 2009,The Beatles,57,109,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock","Folk/Acoustic, Rock",Please Please Me (Remastered),22/03/1963,02:57,61,56,64,0,84,0,0,-11,D Major,4
4,Chains - Remastered 2009,The Beatles,48,130,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock","Folk/Acoustic, Rock",Please Please Me (Remastered),22/03/1963,02:25,65,56,61,0,93,0,10,-11,A#/B♭ Major,4
5,Boys - Remastered 2009,The Beatles,50,142,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock","Folk/Acoustic, Rock",Please Please Me (Remastered),22/03/1963,02:26,40,86,61,0,82,0,70,-10,E Major,4
6,Ask Me Why - Remastered 2009,The Beatles,51,134,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock","Folk/Acoustic, Rock",Please Please Me (Remastered),22/03/1963,02:26,61,39,77,0,60,0,10,-11,E Major,4
7,Please Please Me - Remastered 2009,The Beatles,59,139,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock","Folk/Acoustic, Rock",Please Please Me (Remastered),22/03/1963,02:00,53,48,33,0,71,0,0,-10,E Major,4
8,Love Me Do - Remastered 2009,The Beatles,69,148,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock","Folk/Acoustic, Rock",Please Please Me (Remastered),22/03/1963,02:21,52,83,39,0,74,0,20,-6,C Major,4
9,P.S. I Love You - Remastered 2009,The Beatles,52,134,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock","Folk/Acoustic, Rock",Please Please Me (Remastered),22/03/1963,02:04,64,66,39,0,77,0,0,-9,D Major,4
10,Baby It's You - Remastered 2009,The Beatles,55,112,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock","Folk/Acoustic, Rock",Please Please Me (Remastered),22/03/1963,02:40,61,49,78,0,88,0,0,-12,E Minor,4
