#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature
1,It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,74,136,"australian rock, hard rock, rock",Rock,High Voltage,14/05/1976,05:01,46,86,13,5,53,0,0,-4,D#/E♭ Major,4
2,Rock 'N' Roll Singer,AC/DC,51,134,"australian rock, hard rock, rock",Rock,High Voltage,14/05/1976,05:03,64,71,26,0,71,10,0,-5,A Major,4
3,The Jack,AC/DC,58,112,"australian rock, hard rock, rock",Rock,High Voltage,14/05/1976,05:52,65,47,1,0,37,0,20,-6,A Major,4
4,Live Wire,AC/DC,58,132,"australian rock, hard rock, rock",Rock,High Voltage,14/05/1976,05:48,59,84,1,1,8,0,0,-5,G Major,4
5,Cyberspace,AC/DC,27,157,"australian rock, hard rock, rock",Rock,Backtracks,10/11/2009,02:55,47,91,1,0,76,0,0,-5,A Major,4
6,T.N.T.,AC/DC,80,126,"australian rock, hard rock, rock",Rock,High Voltage,14/05/1976,03:34,75,76,15,0,44,30,10,-5,A Major,4
7,Can I Sit Next to You Girl,AC/DC,51,135,"australian rock, hard rock, rock",Rock,High Voltage,14/05/1976,04:11,57,75,5,6,47,10,0,-6,G#/A♭ Major,4
8,Big Gun,AC/DC,60,133,"australian rock, hard rock, rock",Rock,Backtracks,10/11/2009,04:19,57,90,1,26,84,0,10,-5,A Major,4
9,Little Lover,AC/DC,46,106,"australian rock, hard rock, rock",Rock,High Voltage,14/05/1976,05:38,58,52,0,1,24,0,20,-6,D Major,4
10,She's Got Balls,AC/DC,46,116,"australian rock, hard rock, rock",Rock,High Voltage,14/05/1976,04:51,69,42,8,3,49,0,0,-6,D Major,4
11,High Voltage,AC/DC,61,137,"australian rock, hard rock, rock",Rock,High Voltage,14/05/1976,04:14,56,79,3,45,55,0,0,-5,A Major,4
