#,Song,Artist,Popularity,BPM,Genres,Parent-Genres,Album,Album-Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time-Signature,Added-At,Spotify-Track-Id,Track-Id,Album-Label
1,Tim McGraw,Taylor Swift,69,76,pop,Pop,Taylor Swift,24/10/2006,03:52,58,49,57,0,43,0,10,-6,C Major,4,13/08/2023,spotify:track:0Om9WAB5RS09L80DyOfTNa,0Om9WAB5RS09L80DyOfTNa,"Big Machine Records, LLC"
2,Picture To Burn,Taylor Swift,73,106,pop,Pop,Taylor Swift,24/10/2006,02:53,66,88,17,0,82,0,10,-2,G Major,4,13/08/2023,spotify:track:32mVHdy0bi1XKgr0ajsBlG,32mVHdy0bi1XKgr0ajsBlG,"Big Machine Records, LLC"
3,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,70,100,pop,Pop,Taylor Swift,24/10/2006,03:23,62,42,29,0,29,0,10,-7,A#/B♭ Major,4,13/08/2023,spotify:track:7zMcNqs55Mxer82bvZFkpg,7zMcNqs55Mxer82bvZFkpg,"Big Machine Records, LLC"
4,A Place in this World,Taylor Swift,61,115,pop,Pop,Taylor Swift,24/10/2006,03:19,58,78,5,0,43,0,30,-3,A Major,4,13/08/2023,spotify:track:73OX8GdpOeGzKC6OvGSbsv,73OX8GdpOeGzKC6OvGSbsv,"Big Machine Records, LLC"
5,Cold As You,Taylor Swift,61,176,pop,Pop,Taylor Swift,24/10/2006,03:59,42,48,22,0,26,0,10,-6,F Major,4,13/08/2023,spotify:track:7an1exwMnfYRcdVQm0yDev,7an1exwMnfYRcdVQm0yDev,"Big Machine Records, LLC"
6,The Outside,Taylor Swift,59,113,pop,Pop,Taylor Swift,24/10/2006,03:27,59,81,0,0,59,0,20,-4,F Major,4,13/08/2023,spotify:track:2QA3IixpRcKyOdG7XDzRgv,2QA3IixpRcKyOdG7XDzRgv,"Big Machine Records, LLC"
7,Tied Together with a Smile,Taylor Swift,60,146,pop,Pop,Taylor Swift,24/10/2006,04:08,48,58,53,0,19,0,0,-5,D Major,4,13/08/2023,spotify:track:6K0CJLVXqbGMeJSmJ4ENKK,6K0CJLVXqbGMeJSmJ4ENKK,"Big Machine Records, LLC"
8,Stay Beautiful,Taylor Swift,60,132,pop,Pop,Taylor Swift,24/10/2006,03:56,59,63,9,0,50,0,10,-5,G#/A♭ Major,4,13/08/2023,spotify:track:2ZoOmCSgj0ypVAmGd1ve4y,2ZoOmCSgj0ypVAmGd1ve4y,"Big Machine Records, LLC"
9,Should've Said No,Taylor Swift,70,168,pop,Pop,Taylor Swift,24/10/2006,04:02,48,78,1,0,47,0,20,-4,E Minor,4,13/08/2023,spotify:track:16MVSD0mGI4RMQT83Qzm69,16MVSD0mGI4RMQT83Qzm69,"Big Machine Records, LLC"
10,Mary's Song (Oh My My My),Taylor Swift,62,75,pop,Pop,Taylor Swift,24/10/2006,03:33,40,63,2,0,37,0,10,-5,D Major,4,13/08/2023,spotify:track:2QrQCMel6v2JiLxqrg4p2O,2QrQCMel6v2JiLxqrg4p2O,"Big Machine Records, LLC"
11,Our Song,Taylor Swift,77,89,pop,Pop,Taylor Swift,24/10/2006,03:21,67,67,11,0,54,0,30,-5,D Major,4,13/08/2023,spotify:track:15DeqWWQB4dcEWzJg15VrN,15DeqWWQB4dcEWzJg15VrN,"Big Machine Records, LLC"
12,I'm Only Me When I'm With You,Taylor Swift,63,144,pop,Pop,Taylor Swift,24/10/2006,03:33,56,93,0,0,52,0,10,-4,G#/A♭ Major,4,13/08/2023,spotify:track:0JIdBrXGSJXS72zjF9ss9u,0JIdBrXGSJXS72zjF9ss9u,"Big Machine Records, LLC"
13,Invisible,Taylor Swift,59,96,pop,Pop,Taylor Swift,24/10/2006,03:23,61,39,64,0,23,0,10,-6,G Major,4,13/08/2023,spotify:track:5OOd01o2YS1QFwdpVLds3r,5OOd01o2YS1QFwdpVLds3r,"Big Machine Records, LLC"
14,A Perfectly Good Heart,Taylor Swift,58,156,pop,Pop,Taylor Swift,24/10/2006,03:40,48,75,0,0,27,0,10,-6,E Major,4,13/08/2023,spotify:track:1spLfUJxtyVyiKKTegQ2r4,1spLfUJxtyVyiKKTegQ2r4,"Big Machine Records, LLC"
15,Teardrops on My Guitar - Pop Version,Taylor Swift,58,200,pop,Pop,Taylor Swift,24/10/2006,02:59,46,75,4,0,48,0,0,-4,A#/B♭ Major,4,13/08/2023,spotify:track:4pJi1rVt9GNegU9kywjg4z,4pJi1rVt9GNegU9kywjg4z,"Big Machine Records, LLC"
16,Last Christmas,Taylor Swift,53,116,pop,Pop,The Taylor Swift Holiday Collection,02/12/2008,03:28,70,77,31,0,69,0,10,-5,F Major,4,13/08/2023,spotify:track:2IprIjGNRlj3TfqUWCAo0C,2IprIjGNRlj3TfqUWCAo0C,"Big Machine Records, LLC"
17,Christmases When You Were Mine,Taylor Swift,47,79,pop,Pop,The Taylor Swift Holiday Collection,02/12/2008,03:04,63,21,65,0,39,0,0,-13,G Major,4,13/08/2023,spotify:track:1g09DZjQ7yBommCT6POY2n,1g09DZjQ7yBommCT6POY2n,"Big Machine Records, LLC"
18,Santa Baby,Taylor Swift,46,108,pop,Pop,The Taylor Swift Holiday Collection,02/12/2008,02:38,76,51,16,0,75,0,10,-7,F Major,4,13/08/2023,spotify:track:71IScwIe7bcIlpnlkbKVQw,71IScwIe7bcIlpnlkbKVQw,"Big Machine Records, LLC"
19,Silent Night,Taylor Swift,46,120,pop,Pop,The Taylor Swift Holiday Collection,02/12/2008,03:29,42,31,62,0,13,0,10,-8,G Major,3,13/08/2023,spotify:track:1cJkUN5LAotktryx2nPCr7,1cJkUN5LAotktryx2nPCr7,"Big Machine Records, LLC"
20,Christmas Must Be Something More,Taylor Swift,46,123,pop,Pop,The Taylor Swift Holiday Collection,02/12/2008,03:52,69,79,30,0,51,0,10,-5,G Major,4,13/08/2023,spotify:track:31JVjy3XWnh6C2zf4kLCXN,31JVjy3XWnh6C2zf4kLCXN,"Big Machine Records, LLC"
21,White Christmas,Taylor Swift,45,146,pop,Pop,The Taylor Swift Holiday Collection,02/12/2008,02:34,56,39,59,0,51,0,20,-9,A Major,4,13/08/2023,spotify:track:7GZ3KDorsc1yWndEtzGTjf,7GZ3KDorsc1yWndEtzGTjf,"Big Machine Records, LLC"
