#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature
1,World War,The Cure,23,86,"new wave, permanent wave, rock, uk post-punk",Rock,Three Imaginary Boys (Deluxe Edition),11/05/1979,02:38,44,55,3,0,53,0,10,-7,A Minor,4
2,10:15 Saturday Night - 2005 Remaster,The Cure,47,175,"new wave, permanent wave, rock, uk post-punk",Rock,Three Imaginary Boys (Deluxe Edition),11/05/1979,03:42,66,44,1,3,36,10,10,-10,C Major,4
3,Accuracy - 2005 Remaster,The Cure,36,62,"new wave, permanent wave, rock, uk post-punk",Rock,Three Imaginary Boys (Deluxe Edition),11/05/1979,02:17,71,42,40,44,52,0,10,-10,F#/G♭ Minor,4
4,Grinding Halt - 2005 Remaster,The Cure,43,173,"new wave, permanent wave, rock, uk post-punk",Rock,Three Imaginary Boys (Deluxe Edition),11/05/1979,02:49,71,74,2,2,66,20,0,-8,F#/G♭ Minor,4
5,Another Day - 2005 Remaster,The Cure,32,99,"new wave, permanent wave, rock, uk post-punk",Rock,Three Imaginary Boys (Deluxe Edition),11/05/1979,03:44,64,39,18,1,7,0,10,-11,E Major,4
6,Object - 2005 Remaster,The Cure,33,154,"new wave, permanent wave, rock, uk post-punk",Rock,Three Imaginary Boys (Deluxe Edition),11/05/1979,03:01,48,75,0,0,90,0,10,-7,F Major,4
7,Subway Song - 2005 Remaster,The Cure,30,127,"new wave, permanent wave, rock, uk post-punk",Rock,Three Imaginary Boys (Deluxe Edition),11/05/1979,01:58,69,13,31,78,36,0,40,-21,C♯/D♭ Major,4
8,Foxy Lady,The Cure,31,82,"new wave, permanent wave, rock, uk post-punk",Rock,Three Imaginary Boys (Deluxe Edition),11/05/1979,02:29,64,71,0,0,55,30,0,-7,A Major,4
9,Meathook,The Cure,31,166,"new wave, permanent wave, rock, uk post-punk",Rock,Three Imaginary Boys (Deluxe Edition),11/05/1979,02:17,64,46,39,0,61,40,10,-11,C Major,4
10,So What - 2005 Remaster,The Cure,29,77,"new wave, permanent wave, rock, uk post-punk",Rock,Three Imaginary Boys (Deluxe Edition),11/05/1979,02:36,49,87,16,0,42,10,20,-4,C Major,4
11,Fire in Cairo - 2005 Remaster,The Cure,50,146,"new wave, permanent wave, rock, uk post-punk",Rock,Three Imaginary Boys (Deluxe Edition),11/05/1979,03:23,76,71,22,0,71,20,10,-8,C♯/D♭ Major,4
12,It's Not You - 2005 Remaster,The Cure,31,167,"new wave, permanent wave, rock, uk post-punk",Rock,Three Imaginary Boys (Deluxe Edition),11/05/1979,02:50,37,86,0,0,36,10,20,-7,C♯/D♭ Minor,4
13,Three Imaginary Boys - 2005 Remaster,The Cure,43,170,"new wave, permanent wave, rock, uk post-punk",Rock,Three Imaginary Boys (Deluxe Edition),11/05/1979,03:15,60,63,8,0,48,0,0,-8,B Minor,4
14,The Weedy Burton - 2005 Remaster,The Cure,26,120,"new wave, permanent wave, rock, uk post-punk",Rock,Three Imaginary Boys (Deluxe Edition),11/05/1979,00:53,70,36,3,87,85,0,20,-12,C♯/D♭ Minor,4
