#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature
1,Lead Me,Kip Moore,0,152,"contemporary country, country, country road, modern country rock","Country, Rock",The Best Of Me (Original Motion Picture Soundtrack),07/10/2014,03:50,49,23,39,0,29,0,0,-10,B Major,4
2,Don't Go Changing,Kip Moore,43,100,"contemporary country, country, country road, modern country rock","Country, Rock",Don't Go Changing,30/10/2020,03:27,69,75,0,0,46,0,0,-6,C Major,4
3,Man's Gotta Do,Kip Moore,35,144,"contemporary country, country, country road, modern country rock","Country, Rock",Wild World (Deluxe),12/02/2021,03:47,54,75,4,0,15,0,0,-6,E Major,4
4,Bittersweet Company,Kip Moore,11,100,"contemporary country, country, country road, modern country rock","Country, Rock",Highway,23/10/2020,03:28,59,87,0,0,36,0,10,-5,C♯/D♭ Major,4
5,Hey Old Lover,Kip Moore,11,116,"contemporary country, country, country road, modern country rock","Country, Rock",Highway,23/10/2020,02:59,82,79,1,0,77,0,10,-5,C♯/D♭ Major,4
6,Payin' Hard,Kip Moore,9,122,"contemporary country, country, country road, modern country rock","Country, Rock",Nostalgia,16/10/2020,02:48,57,83,23,0,26,0,0,-8,C Major,4
7,That Was Us,Kip Moore,9,158,"contemporary country, country, country road, modern country rock","Country, Rock",Nostalgia,16/10/2020,03:59,60,68,0,0,49,0,10,-7,D Major,4
8,Fire And Flame,Kip Moore,8,96,"contemporary country, country, country road, modern country rock","Country, Rock",Heartbeat,09/10/2020,04:44,63,80,2,0,41,0,0,-8,B Major,4
9,Crazy One More Time,Kip Moore,9,119,"contemporary country, country, country road, modern country rock","Country, Rock",The Longing,02/10/2020,04:25,64,53,13,0,48,0,0,-9,F Major,4
10,Come Home With You,Kip Moore,8,176,"contemporary country, country, country road, modern country rock","Country, Rock",The Longing,02/10/2020,03:24,51,72,44,0,45,0,10,-8,D Major,4
11,South,Kip Moore,11,110,"contemporary country, country, country road, modern country rock","Country, Rock",Sun & Waves,18/09/2020,04:17,74,86,3,0,52,0,10,-7,C♯/D♭ Minor,4
12,It Ain't California,Kip Moore,10,120,"contemporary country, country, country road, modern country rock","Country, Rock",Sun & Waves,18/09/2020,04:13,69,60,37,0,58,0,10,-5,A#/B♭ Major,4
13,Sweet Virginia,Kip Moore,8,95,"contemporary country, country, country road, modern country rock","Country, Rock",Sun & Waves,18/09/2020,04:32,53,80,1,0,30,0,0,-7,C Major,4
14,Sunburn,Kip Moore,10,122,"contemporary country, country, country road, modern country rock","Country, Rock",Sun & Waves,18/09/2020,03:40,64,85,0,1,33,0,10,-5,D Major,4
15,Girl Of The Summer,Kip Moore,10,125,"contemporary country, country, country road, modern country rock","Country, Rock",Sun & Waves,18/09/2020,03:56,65,82,0,0,52,0,30,-5,D Major,4
16,Everything But You,Kip Moore,10,187,"contemporary country, country, country road, modern country rock","Country, Rock",Sun & Waves,18/09/2020,03:56,32,72,2,0,29,0,20,-6,A#/B♭ Major,4
17,Red White Blue Jean American Dream,Kip Moore,39,160,"contemporary country, country, country road, modern country rock","Country, Rock",Red White Blue Jean American Dream,15/05/2020,03:00,56,76,0,0,62,0,20,-6,C Major,4
18,Wild World,Kip Moore,37,150,"contemporary country, country, country road, modern country rock","Country, Rock",Wild World,27/03/2020,03:40,64,45,6,0,22,0,10,-9,G Major,4
19,She's Mine,Kip Moore,46,123,"contemporary country, country, country road, modern country rock","Country, Rock",She's Mine,09/08/2019,03:49,61,87,0,0,49,0,10,-5,D Major,4
20,The Bull,Kip Moore,26,123,"contemporary country, country, country road, modern country rock","Country, Rock",The Bull,2017,03:09,74,69,1,0,70,0,0,-6,G Major,4
21,All Time Low,Kip Moore,27,174,"contemporary country, country, country road, modern country rock","Country, Rock",Underground,28/10/2016,03:43,41,87,0,0,56,0,30,-5,D Major,4
22,My Kind,Kip Moore,40,147,"contemporary country, country, country road, modern country rock","Country, Rock",Underground,28/10/2016,03:22,82,75,3,0,96,10,10,-8,E Major,4
23,Midnight Slow Dance - Live,Kip Moore,26,124,"contemporary country, country, country road, modern country rock","Country, Rock",Underground,28/10/2016,03:29,66,84,2,0,45,0,10,-4,D Major,4
24,Separate Ways - Live,Kip Moore,30,148,"contemporary country, country, country road, modern country rock","Country, Rock",Underground,28/10/2016,04:13,73,49,16,0,58,0,20,-8,D Major,4
25,My Baby's Gone - Live,Kip Moore,30,80,"contemporary country, country, country road, modern country rock","Country, Rock",Underground,28/10/2016,04:17,85,35,47,0,69,0,0,-10,C♯/D♭ Major,4
26,Come And Get It - Live From Soundcheck,Kip Moore,19,134,"contemporary country, country, country road, modern country rock","Country, Rock",Soundcheck (Live),23/09/2014,04:49,57,76,0,0,67,0,10,-7,A Major,4
27,Hang A While - Live From Soundcheck,Kip Moore,28,140,"contemporary country, country, country road, modern country rock","Country, Rock",Soundcheck (Live),23/09/2014,04:09,57,65,11,0,65,0,0,-6,C♯/D♭ Major,4
28,Heart's Desire - Live From Soundcheck,Kip Moore,20,80,"contemporary country, country, country road, modern country rock","Country, Rock",Soundcheck (Live),23/09/2014,03:51,69,68,16,0,65,0,10,-8,D Major,4
29,Lipstick - Live From Soundcheck,Kip Moore,18,144,"contemporary country, country, country road, modern country rock","Country, Rock",Soundcheck (Live),23/09/2014,03:57,56,78,0,0,71,0,40,-6,G#/A♭ Major,4
30,Dirt Road,Kip Moore,47,150,"contemporary country, country, country road, modern country rock","Country, Rock",Dirt Road,01/01/2014,03:23,62,67,5,0,57,0,0,-5,C Major,4
31,Young Love,Kip Moore,44,166,"contemporary country, country, country road, modern country rock","Country, Rock",Young Love,01/01/2013,04:41,42,62,0,0,22,0,10,-6,C Major,4
32,Janie Blu,Kip Moore,33,154,"contemporary country, country, country road, modern country rock","Country, Rock",Wild World,29/05/2020,04:02,53,68,4,0,10,0,10,-6,D Major,4
33,Southpaw,Kip Moore,44,82,"contemporary country, country, country road, modern country rock","Country, Rock",Wild World,29/05/2020,04:04,59,84,8,0,71,0,10,-5,A Major,4
34,Grow On You,Kip Moore,31,156,"contemporary country, country, country road, modern country rock","Country, Rock",Wild World,29/05/2020,03:07,71,85,1,0,84,0,30,-5,A Major,4
35,More Than Enough,Kip Moore,33,157,"contemporary country, country, country road, modern country rock","Country, Rock",Wild World,29/05/2020,03:20,62,72,72,0,70,0,0,-7,D#/E♭ Major,4
36,Crazy For You Tonight,Kip Moore,33,80,"contemporary country, country, country road, modern country rock","Country, Rock",Wild World,29/05/2020,03:47,61,54,8,0,52,0,10,-8,D Major,4
37,Plead The Fifth - Acoustic,Kip Moore,39,150,"contemporary country, country, country road, modern country rock","Country, Rock",Room To Spare: The Acoustic Sessions,16/11/2018,02:53,68,84,50,0,90,0,10,-7,C Major,4
38,Tennessee Boy,Kip Moore,50,82,"contemporary country, country, country road, modern country rock","Country, Rock",Room To Spare: The Acoustic Sessions,16/11/2018,03:12,65,50,18,0,62,0,10,-7,D Major,4
39,Love You To The Moon,Kip Moore,43,101,"contemporary country, country, country road, modern country rock","Country, Rock",Room To Spare: The Acoustic Sessions,16/11/2018,03:43,75,64,32,0,90,0,0,-6,G Major,4
40,Wish It Was Me,Kip Moore,41,81,"contemporary country, country, country road, modern country rock","Country, Rock",Room To Spare: The Acoustic Sessions,16/11/2018,03:20,68,82,33,0,33,0,20,-7,C Major,4
41,Part Of Growing Up,Kip Moore,35,80,"contemporary country, country, country road, modern country rock","Country, Rock",Room To Spare: The Acoustic Sessions,16/11/2018,03:12,70,50,20,0,48,0,0,-8,E Major,4
42,Plead The Fifth,Kip Moore,45,168,"contemporary country, country, country road, modern country rock","Country, Rock",SLOWHEART,08/09/2017,03:22,51,84,0,0,53,0,10,-4,C Major,4
43,Just Another Girl,Kip Moore,43,102,"contemporary country, country, country road, modern country rock","Country, Rock",SLOWHEART,08/09/2017,03:47,70,88,3,0,81,0,0,-4,E Major,4
44,I've Been Around,Kip Moore,44,114,"contemporary country, country, country road, modern country rock","Country, Rock",SLOWHEART,08/09/2017,03:37,76,75,1,0,88,0,10,-5,F Minor,4
45,Fast Women,Kip Moore,37,156,"contemporary country, country, country road, modern country rock","Country, Rock",SLOWHEART,08/09/2017,03:38,51,83,0,0,49,0,20,-6,D Major,4
46,More Girls Like You,Kip Moore,60,75,"contemporary country, country, country road, modern country rock","Country, Rock",SLOWHEART,08/09/2017,02:34,56,75,1,0,71,0,0,-6,D Major,4
47,Blonde,Kip Moore,42,80,"contemporary country, country, country road, modern country rock","Country, Rock",SLOWHEART,08/09/2017,03:28,71,52,12,0,36,0,0,-6,G#/A♭ Major,4
48,Good Thing,Kip Moore,37,119,"contemporary country, country, country road, modern country rock","Country, Rock",SLOWHEART,08/09/2017,02:50,81,63,0,0,68,0,10,-5,E Major,4
49,Last Shot,Kip Moore,57,148,"contemporary country, country, country road, modern country rock","Country, Rock",SLOWHEART,08/09/2017,03:48,49,86,0,0,38,0,30,-4,E Major,4
50,Try Again,Kip Moore,35,76,"contemporary country, country, country road, modern country rock","Country, Rock",SLOWHEART,08/09/2017,04:03,67,42,1,0,45,0,0,-7,D Major,4
51,Guitar Man,Kip Moore,40,151,"contemporary country, country, country road, modern country rock","Country, Rock",SLOWHEART,08/09/2017,05:23,42,32,76,0,34,0,10,-8,G Major,3
52,Wild Ones,Kip Moore,54,76,"contemporary country, country, country road, modern country rock","Country, Rock",Wild Ones (Deluxe),21/08/2015,03:21,74,56,3,0,80,0,0,-7,A#/B♭ Major,3
53,Come And Get It,Kip Moore,39,134,"contemporary country, country, country road, modern country rock","Country, Rock",Wild Ones (Deluxe),21/08/2015,04:55,56,87,0,1,67,0,20,-5,E Major,4
54,Magic,Kip Moore,38,123,"contemporary country, country, country road, modern country rock","Country, Rock",Wild Ones (Deluxe),21/08/2015,03:35,61,74,0,0,16,0,30,-6,C♯/D♭ Major,4
55,Lipstick,Kip Moore,41,144,"contemporary country, country, country road, modern country rock","Country, Rock",Wild Ones (Deluxe),21/08/2015,04:17,46,77,0,0,66,0,10,-5,E Major,4
56,What Ya Got On Tonight,Kip Moore,39,90,"contemporary country, country, country road, modern country rock","Country, Rock",Wild Ones (Deluxe),21/08/2015,02:59,64,88,0,0,89,0,10,-5,C♯/D♭ Minor,4
57,Heart's Desire,Kip Moore,49,80,"contemporary country, country, country road, modern country rock","Country, Rock",Wild Ones (Deluxe),21/08/2015,04:20,66,55,0,0,54,0,0,-9,D Major,4
58,Complicated,Kip Moore,38,94,"contemporary country, country, country road, modern country rock","Country, Rock",Wild Ones (Deluxe),21/08/2015,03:02,60,67,1,0,61,0,10,-7,B Major,4
59,I'm To Blame,Kip Moore,54,90,"contemporary country, country, country road, modern country rock","Country, Rock",Wild Ones (Deluxe),21/08/2015,02:16,69,87,32,0,82,0,0,-5,G Major,4
60,That's Alright With Me,Kip Moore,46,170,"contemporary country, country, country road, modern country rock","Country, Rock",Wild Ones (Deluxe),21/08/2015,03:36,62,72,5,0,61,0,0,-7,C Major,4
61,Running For You,Kip Moore,47,156,"contemporary country, country, country road, modern country rock","Country, Rock",Wild Ones (Deluxe),21/08/2015,03:32,67,63,2,0,73,0,0,-6,D Major,4
62,Comeback Kid,Kip Moore,36,59,"contemporary country, country, country road, modern country rock","Country, Rock",Wild Ones (Deluxe),21/08/2015,03:13,50,50,11,0,18,0,10,-10,F#/G♭ Major,4
