#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature
1,All My Friends Say,Luke Bryan,63,117,"contemporary country, country, country road",Country,I'll Stay Me,01/01/2007,04:02,68,90,4,0,96,0,10,-4,A Major,4
2,Baby's On The Way,Luke Bryan,31,105,"contemporary country, country, country road",Country,I'll Stay Me,01/01/2007,03:20,67,78,0,0,82,0,0,-5,G#/A♭ Major,4
3,The Car In Front Of Me,Luke Bryan,29,156,"contemporary country, country, country road",Country,I'll Stay Me,01/01/2007,03:40,46,46,6,0,14,0,10,-7,G Major,4
4,Pray About Everything,Luke Bryan,36,106,"contemporary country, country, country road",Country,I'll Stay Me,01/01/2007,03:16,63,86,2,0,72,0,10,-4,E Major,4
5,We Rode In Trucks,Luke Bryan,49,146,"contemporary country, country, country road",Country,I'll Stay Me,01/01/2007,04:30,54,71,3,0,67,0,0,-6,E Major,4
6,I'll Stay Me,Luke Bryan,31,188,"contemporary country, country, country road",Country,I'll Stay Me,01/01/2007,03:02,54,78,7,0,94,0,10,-6,E Major,4
7,First Love Song,Luke Bryan,31,142,"contemporary country, country, country road",Country,I'll Stay Me,01/01/2007,04:36,53,63,2,0,44,0,0,-5,B Major,4
8,Country Man,Luke Bryan,51,120,"contemporary country, country, country road",Country,I'll Stay Me,01/01/2007,03:10,74,84,3,0,86,0,40,-4,E Major,4
9,Over The River,Luke Bryan,28,109,"contemporary country, country, country road",Country,I'll Stay Me,01/01/2007,03:53,65,85,0,0,67,0,30,-5,A Major,4
10,You Make Me Want To,Luke Bryan,33,95,"contemporary country, country, country road",Country,I'll Stay Me,01/01/2007,03:29,68,70,0,0,85,0,0,-7,F Major,4
11,Tackle Box,Luke Bryan,29,79,"contemporary country, country, country road",Country,I'll Stay Me,01/01/2007,04:02,58,58,2,0,48,0,10,-6,E Major,4
12,Rain Is A Good Thing,Luke Bryan,38,108,"contemporary country, country, country road",Country,Doin’ My Thing (Deluxe Edition),06/10/2009,02:56,62,93,11,0,52,0,30,-5,B Minor,4
13,Doin' My Thing,Luke Bryan,26,119,"contemporary country, country, country road",Country,Doin’ My Thing (Deluxe Edition),06/10/2009,03:09,66,89,2,0,77,0,10,-5,F Major,4
14,Do I,Luke Bryan,38,138,"contemporary country, country, country road",Country,Doin’ My Thing (Deluxe Edition),06/10/2009,03:59,58,69,26,0,30,0,10,-5,A Major,4
15,What Country Is,Luke Bryan,33,148,"contemporary country, country, country road",Country,Doin’ My Thing (Deluxe Edition),06/10/2009,03:14,56,77,9,0,77,0,0,-4,A#/B♭ Major,4
16,Someone Else Calling You Baby,Luke Bryan,36,115,"contemporary country, country, country road",Country,Doin’ My Thing (Deluxe Edition),06/10/2009,03:49,50,92,5,0,35,0,0,-4,G#/A♭ Major,4
17,Welcome To The Farm,Luke Bryan,27,118,"contemporary country, country, country road",Country,Doin’ My Thing (Deluxe Edition),06/10/2009,04:27,58,87,15,0,43,0,20,-4,C Major,4
18,Apologize,Luke Bryan,24,128,"contemporary country, country, country road",Country,Doin’ My Thing (Deluxe Edition),06/10/2009,02:52,59,67,5,0,29,0,0,-5,D#/E♭ Major,4
19,Every Time I See You,Luke Bryan,26,116,"contemporary country, country, country road",Country,Doin’ My Thing (Deluxe Edition),06/10/2009,04:05,49,88,2,0,38,0,0,-4,G Major,4
20,Chuggin' Along,Luke Bryan,22,162,"contemporary country, country, country road",Country,Doin’ My Thing (Deluxe Edition),06/10/2009,02:59,50,89,1,0,72,0,10,-4,F#/G♭ Minor,4
21,I Did It Again,Luke Bryan,23,140,"contemporary country, country, country road",Country,Doin’ My Thing (Deluxe Edition),06/10/2009,04:49,55,61,1,0,46,0,10,-6,E Major,3
22,Drinkin' Beer And Wastin' Bullets,Luke Bryan,30,132,"contemporary country, country, country road",Country,Doin’ My Thing (Deluxe Edition),06/10/2009,04:19,49,75,1,0,25,0,10,-5,G Minor,4
23,Ya'll Can Have This Town - Bonus Track,Luke Bryan,22,174,"contemporary country, country, country road",Country,Doin’ My Thing (Deluxe Edition),06/10/2009,03:31,44,83,2,0,43,0,0,-4,G Major,4
24,Favorite Flowers - Bonus Track,Luke Bryan,23,156,"contemporary country, country, country road",Country,Doin’ My Thing (Deluxe Edition),06/10/2009,04:40,49,51,21,0,18,0,10,-7,A#/B♭ Major,4
25,Country Girl (Shake It For Me),Luke Bryan,81,106,"contemporary country, country, country road",Country,Tailgates & Tanlines,01/01/2011,03:45,65,90,3,0,67,0,0,-5,D Major,4
26,Kiss Tomorrow Goodbye,Luke Bryan,74,115,"contemporary country, country, country road",Country,Tailgates & Tanlines,01/01/2011,03:23,57,94,1,0,58,0,30,-3,F Minor,4
27,Drunk On You,Luke Bryan,69,144,"contemporary country, country, country road",Country,Tailgates & Tanlines,01/01/2011,03:33,56,87,18,0,47,0,10,-4,A Major,4
28,Too Damn Young,Luke Bryan,44,138,"contemporary country, country, country road",Country,Tailgates & Tanlines,01/01/2011,03:36,63,63,41,0,37,0,10,-5,C Major,4
29,I Don't Want This Night To End,Luke Bryan,73,112,"contemporary country, country, country road",Country,Tailgates & Tanlines,01/01/2011,03:39,62,73,3,0,38,0,20,-4,A Minor,4
30,You Don't Know Jack,Luke Bryan,44,142,"contemporary country, country, country road",Country,Tailgates & Tanlines,01/01/2011,03:16,59,55,55,0,40,0,10,-7,F Major,4
31,Harvest Time,Luke Bryan,44,142,"contemporary country, country, country road",Country,Tailgates & Tanlines,01/01/2011,03:27,56,78,1,0,35,0,10,-4,G Major,4
32,I Know You're Gonna Be There,Luke Bryan,44,156,"contemporary country, country, country road",Country,Tailgates & Tanlines,01/01/2011,03:36,56,66,14,0,47,0,10,-4,G#/A♭ Major,4
33,Muckalee Creek Water,Luke Bryan,52,132,"contemporary country, country, country road",Country,Tailgates & Tanlines,01/01/2011,03:56,58,84,8,0,42,0,10,-4,C Major,4
34,Tailgate Blues,Luke Bryan,42,128,"contemporary country, country, country road",Country,Tailgates & Tanlines,01/01/2011,03:43,58,65,15,0,64,0,0,-5,G Major,4
35,"Been There, Done That",Luke Bryan,45,156,"contemporary country, country, country road",Country,Tailgates & Tanlines,01/01/2011,04:29,53,86,12,0,64,0,0,-4,C Major,4
36,Faded Away,Luke Bryan,40,140,"contemporary country, country, country road",Country,Tailgates & Tanlines,01/01/2011,03:48,62,84,12,0,52,0,0,-6,G Major,4
37,I Knew You That Way,Luke Bryan,37,73,"contemporary country, country, country road",Country,Tailgates & Tanlines,01/01/2011,03:32,54,40,56,0,21,0,20,-7,C Major,4
38,Suntan City,Luke Bryan,52,117,"contemporary country, country, country road",Country,Spring Break...Here To Party,01/01/2013,03:54,66,88,0,0,92,0,10,-5,G#/A♭ Major,4
39,Just A Sip,Luke Bryan,36,115,"contemporary country, country, country road",Country,Spring Break...Here To Party,01/01/2013,02:53,58,92,0,0,36,0,10,-3,A Major,4
40,Buzzkill,Luke Bryan,44,145,"contemporary country, country, country road",Country,Spring Break...Here To Party,01/01/2013,03:37,52,78,3,0,50,0,10,-5,F#/G♭ Major,4
41,If You Ain't Here To Party,Luke Bryan,49,160,"contemporary country, country, country road",Country,Spring Break...Here To Party,01/01/2013,03:53,50,91,3,0,80,0,30,-4,C Major,4
42,Little Bit Later On,Luke Bryan,34,105,"contemporary country, country, country road",Country,Spring Break...Here To Party,01/01/2013,04:07,69,89,5,0,96,0,0,-6,F Major,4
43,In Love With The Girl,Luke Bryan,35,170,"contemporary country, country, country road",Country,Spring Break...Here To Party,01/01/2013,03:28,47,90,5,0,70,0,30,-5,A Major,4
44,Shore Thing,Luke Bryan,39,138,"contemporary country, country, country road",Country,Spring Break...Here To Party,01/01/2013,03:53,59,88,0,0,81,0,70,-5,G Major,4
45,Sorority Girl,Luke Bryan,40,126,"contemporary country, country, country road",Country,Spring Break...Here To Party,01/01/2013,03:23,63,87,6,0,67,0,40,-4,G Major,4
46,Shake The Sand,Luke Bryan,30,93,"contemporary country, country, country road",Country,Spring Break...Here To Party,01/01/2013,04:28,62,69,14,0,53,0,30,-6,E Major,4
47,Love In A College Town,Luke Bryan,34,117,"contemporary country, country, country road",Country,Spring Break...Here To Party,01/01/2013,03:23,72,78,1,15,88,0,0,-5,C Major,4
48,Wild Weekend,Luke Bryan,34,164,"contemporary country, country, country road",Country,Spring Break...Here To Party,01/01/2013,04:01,56,91,17,0,93,0,20,-5,F Major,4
49,Cold Beer Drinker,Luke Bryan,38,116,"contemporary country, country, country road",Country,Spring Break...Here To Party,01/01/2013,03:50,69,90,2,0,86,0,10,-5,C Major,4
50,Spring Break-Up,Luke Bryan,33,115,"contemporary country, country, country road",Country,Spring Break...Here To Party,01/01/2013,03:06,65,81,1,0,55,0,10,-4,G Major,4
51,Take My Drunk Ass Home,Luke Bryan,55,118,"contemporary country, country, country road",Country,Spring Break...Here To Party,01/01/2013,03:22,64,86,12,0,78,0,30,-4,D Major,3
52,That's My Kind Of Night,Luke Bryan,41,110,"contemporary country, country, country road",Country,Crash My Party (Deluxe),12/08/2014,03:10,66,75,6,0,89,0,10,-3,E Minor,4
53,Beer In The Headlights,Luke Bryan,36,154,"contemporary country, country, country road",Country,Crash My Party (Deluxe),12/08/2014,02:51,46,96,1,0,51,10,30,-3,B Minor,4
54,Crash My Party,Luke Bryan,45,144,"contemporary country, country, country road",Country,Crash My Party (Deluxe),12/08/2014,03:54,52,82,3,0,41,0,20,-4,G Major,4
55,Roller Coaster,Luke Bryan,44,108,"contemporary country, country, country road",Country,Crash My Party (Deluxe),12/08/2014,04:19,60,79,3,0,30,0,10,-4,G#/A♭ Major,4
56,We Run This Town,Luke Bryan,37,172,"contemporary country, country, country road",Country,Crash My Party (Deluxe),12/08/2014,03:13,44,79,18,0,63,0,10,-4,E Major,4
57,Drink A Beer,Luke Bryan,44,78,"contemporary country, country, country road",Country,Crash My Party (Deluxe),12/08/2014,03:22,56,41,82,0,28,0,10,-8,G#/A♭ Major,4
58,I See You,Luke Bryan,39,130,"contemporary country, country, country road",Country,Crash My Party (Deluxe),12/08/2014,03:05,66,82,9,0,71,0,0,-3,F#/G♭ Major,4
59,Goodbye Girl,Luke Bryan,28,145,"contemporary country, country, country road",Country,Crash My Party (Deluxe),12/08/2014,02:38,56,55,44,0,52,0,10,-8,E Major,4
60,Play It Again,Luke Bryan,41,144,"contemporary country, country, country road",Country,Crash My Party (Deluxe),12/08/2014,03:46,51,88,9,0,60,0,0,-3,B Major,4
61,Blood Brothers,Luke Bryan,29,81,"contemporary country, country, country road",Country,Crash My Party (Deluxe),12/08/2014,04:03,54,73,16,0,55,0,0,-5,F#/G♭ Major,4
62,Out Like That,Luke Bryan,31,120,"contemporary country, country, country road",Country,Crash My Party (Deluxe),12/08/2014,03:17,59,93,1,0,67,0,30,-4,B Major,4
63,Shut It Down,Luke Bryan,28,152,"contemporary country, country, country road",Country,Crash My Party (Deluxe),12/08/2014,03:15,44,72,4,0,32,0,10,-5,G Major,4
