#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature
1,Geyser,Mitski,0,103,"brooklyn indie, pov: indie","Rock, Pop",Be the Cowboy,17/08/2018,02:23,26,61,0,0,15,0,0,-5,G Major,4
2,Why Didn't You Stop Me?,Mitski,0,120,"brooklyn indie, pov: indie","Rock, Pop",Be the Cowboy,17/08/2018,02:21,61,86,0,12,56,0,0,-5,C Major,4
3,Old Friend,Mitski,0,90,"brooklyn indie, pov: indie","Rock, Pop",Be the Cowboy,17/08/2018,01:52,58,45,36,0,33,0,20,-9,A#/B♭ Major,4
4,A Pearl,Mitski,0,84,"brooklyn indie, pov: indie","Rock, Pop",Be the Cowboy,17/08/2018,02:36,23,64,5,3,23,0,10,-4,G#/A♭ Major,4
5,Lonesome Love,Mitski,0,177,"brooklyn indie, pov: indie","Rock, Pop",Be the Cowboy,17/08/2018,01:50,38,73,33,0,21,0,60,-7,D Major,3
6,Remember My Name,Mitski,0,204,"brooklyn indie, pov: indie","Rock, Pop",Be the Cowboy,17/08/2018,02:15,33,69,0,39,60,0,10,-3,B Major,4
7,Me and My Husband,Mitski,0,172,"brooklyn indie, pov: indie","Rock, Pop",Be the Cowboy,17/08/2018,02:17,50,64,5,0,77,0,30,-5,C♯/D♭ Major,4
8,Come into the Water,Mitski,0,90,"brooklyn indie, pov: indie","Rock, Pop",Be the Cowboy,17/08/2018,01:32,40,38,63,0,35,0,10,-11,G#/A♭ Minor,4
9,Nobody,Mitski,0,117,"brooklyn indie, pov: indie","Rock, Pop",Be the Cowboy,17/08/2018,03:13,40,72,8,0,49,0,0,-5,C Major,4
10,Pink in the Night,Mitski,0,103,"brooklyn indie, pov: indie","Rock, Pop",Be the Cowboy,17/08/2018,02:16,26,40,18,0,11,0,20,-10,D Major,4
11,A Horse Named Cold Air,Mitski,0,68,"brooklyn indie, pov: indie","Rock, Pop",Be the Cowboy,17/08/2018,02:03,29,8,98,0,12,0,0,-15,G Major,4
12,Washing Machine Heart,Mitski,1,106,"brooklyn indie, pov: indie","Rock, Pop",Be the Cowboy,17/08/2018,02:08,62,82,1,49,58,0,40,-4,A Major,4
13,Blue Light,Mitski,0,92,"brooklyn indie, pov: indie","Rock, Pop",Be the Cowboy,17/08/2018,01:43,30,42,49,7,17,0,30,-6,D Major,3
14,Two Slow Dancers,Mitski,0,81,"brooklyn indie, pov: indie","Rock, Pop",Be the Cowboy,17/08/2018,03:59,23,11,80,0,5,0,10,-13,C Major,4
15,Happy,Mitski,0,107,"brooklyn indie, pov: indie","Rock, Pop",Puberty 2,17/06/2016,03:40,60,51,17,0,4,0,10,-11,E Major,4
16,Dan the Dancer,Mitski,0,75,"brooklyn indie, pov: indie","Rock, Pop",Puberty 2,17/06/2016,02:25,47,69,0,20,64,0,50,-8,G#/A♭ Major,3
17,Once More to See You,Mitski,0,93,"brooklyn indie, pov: indie","Rock, Pop",Puberty 2,17/06/2016,03:00,54,41,16,1,33,0,10,-14,A Major,4
18,Fireworks,Mitski,0,73,"brooklyn indie, pov: indie","Rock, Pop",Puberty 2,17/06/2016,02:37,22,30,0,0,14,0,10,-11,G Major,4
19,Your Best American Girl,Mitski,0,77,"brooklyn indie, pov: indie","Rock, Pop",Puberty 2,17/06/2016,03:32,36,26,2,1,13,0,20,-10,G Major,4
20,I Bet on Losing Dogs,Mitski,0,82,"brooklyn indie, pov: indie","Rock, Pop",Puberty 2,17/06/2016,02:50,40,50,0,0,39,0,10,-10,A Major,4
21,My Body's Made of Crushed Little Stars,Mitski,0,82,"brooklyn indie, pov: indie","Rock, Pop",Puberty 2,17/06/2016,01:56,20,74,0,0,32,0,40,-8,G Major,4
22,Thursday Girl,Mitski,0,136,"brooklyn indie, pov: indie","Rock, Pop",Puberty 2,17/06/2016,03:08,40,40,23,0,5,0,10,-13,C♯/D♭ Major,4
23,A Loving Feeling,Mitski,0,147,"brooklyn indie, pov: indie","Rock, Pop",Puberty 2,17/06/2016,01:32,33,75,0,0,34,0,10,-9,A Major,4
24,Crack Baby,Mitski,0,96,"brooklyn indie, pov: indie","Rock, Pop",Puberty 2,17/06/2016,04:52,23,55,0,25,6,0,0,-12,F#/G♭ Major,3
25,A Burning Hill,Mitski,0,132,"brooklyn indie, pov: indie","Rock, Pop",Puberty 2,17/06/2016,01:49,46,19,79,0,10,0,10,-15,D Major,1
26,Texas Reznikoff,Mitski,0,146,"brooklyn indie, pov: indie","Rock, Pop",Bury Me At Makeout Creek,11/11/2014,02:12,30,26,6,0,37,0,0,-10,D Major,3
27,Townie,Mitski,0,138,"brooklyn indie, pov: indie","Rock, Pop",Bury Me At Makeout Creek,11/11/2014,03:25,31,88,0,0,28,0,10,-3,C♯/D♭ Major,4
28,First Love / Late Spring,Mitski,0,100,"brooklyn indie, pov: indie","Rock, Pop",Bury Me At Makeout Creek,11/11/2014,04:38,44,55,0,1,10,0,20,-8,C Major,4
29,Francis Forever,Mitski,0,102,"brooklyn indie, pov: indie","Rock, Pop",Bury Me At Makeout Creek,11/11/2014,02:29,54,45,0,0,32,0,10,-9,D Major,4
30,I Don't Smoke,Mitski,0,143,"brooklyn indie, pov: indie","Rock, Pop",Bury Me At Makeout Creek,11/11/2014,03:18,14,54,0,1,23,0,10,-7,C♯/D♭ Major,4
31,Jobless Monday,Mitski,0,100,"brooklyn indie, pov: indie","Rock, Pop",Bury Me At Makeout Creek,11/11/2014,02:06,43,44,0,1,20,0,10,-11,F Major,4
32,Drunk Walk Home,Mitski,0,173,"brooklyn indie, pov: indie","Rock, Pop",Bury Me At Makeout Creek,11/11/2014,02:35,33,36,0,0,33,0,10,-8,A Major,3
33,I Will,Mitski,0,138,"brooklyn indie, pov: indie","Rock, Pop",Bury Me At Makeout Creek,11/11/2014,02:54,53,31,5,39,26,0,10,-14,D Major,4
34,Carry Me Out,Mitski,0,75,"brooklyn indie, pov: indie","Rock, Pop",Bury Me At Makeout Creek,11/11/2014,03:53,15,38,2,0,11,0,10,-9,G Major,4
35,Last Words of a Shooting Star,Mitski,0,130,"brooklyn indie, pov: indie","Rock, Pop",Bury Me At Makeout Creek,11/11/2014,02:44,39,17,47,0,10,0,10,-19,D Major,3
36,"Goodbye, My Danish Sweetheart",Mitski,0,120,"brooklyn indie, pov: indie","Rock, Pop","Retired from Sad, New Career in Business",01/08/2013,02:17,65,44,81,0,47,0,10,-7,C♯/D♭ Major,4
37,Shame,Mitski,0,121,"brooklyn indie, pov: indie","Rock, Pop","Retired from Sad, New Career in Business",01/08/2013,02:24,31,18,96,0,7,0,0,-13,G#/A♭ Minor,4
38,"Because Dreaming Costs Money, My Dear",Mitski,0,80,"brooklyn indie, pov: indie","Rock, Pop","Retired from Sad, New Career in Business",01/08/2013,03:05,36,17,98,1,20,0,10,-14,C♯/D♭ Major,4
39,Humpty,Mitski,0,141,"brooklyn indie, pov: indie","Rock, Pop","Retired from Sad, New Career in Business",01/08/2013,03:21,34,29,87,0,24,0,0,-12,G Major,3
40,Circle,Mitski,0,114,"brooklyn indie, pov: indie","Rock, Pop","Retired from Sad, New Career in Business",01/08/2013,02:51,23,25,73,0,5,0,30,-12,C Major,4
41,I Want You,Mitski,6,132,"brooklyn indie, pov: indie","Rock, Pop","Retired from Sad, New Career in Business",01/08/2013,03:03,29,29,51,0,6,0,0,-11,D#/E♭ Major,3
42,Square,Mitski,0,112,"brooklyn indie, pov: indie","Rock, Pop","Retired from Sad, New Career in Business",01/08/2013,03:10,28,20,92,0,11,0,10,-12,C Major,3
43,Strawberry Blond,Mitski,0,77,"brooklyn indie, pov: indie","Rock, Pop","Retired from Sad, New Career in Business",01/08/2013,01:54,55,55,84,0,94,0,0,-8,C Major,4
44,Class of 2013,Mitski,0,126,"brooklyn indie, pov: indie","Rock, Pop","Retired from Sad, New Career in Business",01/08/2013,01:49,44,22,94,0,12,0,10,-11,C Major,3
45,Square (Solo Piano Version),Mitski,0,80,"brooklyn indie, pov: indie","Rock, Pop","Retired from Sad, New Career in Business",01/08/2013,03:10,22,42,87,0,50,0,10,-9,C Major,3
46,Shame (Jammin' Out Solo Version),Mitski,0,103,"brooklyn indie, pov: indie","Rock, Pop","Retired from Sad, New Career in Business",01/08/2013,02:33,24,50,84,22,8,0,30,-7,D#/E♭ Major,3
47,Liquid Smooth,Mitski,1,114,"brooklyn indie, pov: indie","Rock, Pop",Lush,31/01/2012,02:49,36,34,84,0,12,0,10,-9,G Minor,3
48,Eric,Mitski,0,98,"brooklyn indie, pov: indie","Rock, Pop",Lush,31/01/2012,03:17,29,24,86,0,4,0,10,-11,D#/E♭ Minor,3
49,Brand New City,Mitski,1,148,"brooklyn indie, pov: indie","Rock, Pop",Lush,31/01/2012,02:12,48,83,5,0,66,0,0,-6,F Minor,4
50,Real Men,Mitski,0,109,"brooklyn indie, pov: indie","Rock, Pop",Lush,31/01/2012,02:41,76,41,18,0,72,0,0,-8,A Minor,3
51,Wife,Mitski,0,80,"brooklyn indie, pov: indie","Rock, Pop",Lush,31/01/2012,02:39,38,10,96,0,23,0,30,-14,C Major,3
52,Abbey,Mitski,0,112,"brooklyn indie, pov: indie","Rock, Pop",Lush,31/01/2012,02:46,51,20,84,0,25,0,10,-9,B Major,4
53,Bag of Bones,Mitski,6,84,"brooklyn indie, pov: indie","Rock, Pop",Lush,31/01/2012,04:36,43,24,94,0,32,0,10,-13,C Major,4
54,Door,Mitski,0,113,"brooklyn indie, pov: indie","Rock, Pop",Lush,31/01/2012,02:12,36,9,94,0,39,0,10,-14,C♯/D♭ Major,3
55,Pearl Diver,Mitski,0,90,"brooklyn indie, pov: indie","Rock, Pop",Lush,31/01/2012,02:44,35,15,91,0,18,0,10,-11,A#/B♭ Major,4
56,I Don't Smoke - Audiotree Live Version,Mitski,50,140,"brooklyn indie, pov: indie","Rock, Pop",Mitski on Audiotree Live,31/07/2015,02:53,26,55,40,0,31,0,20,-10,C♯/D♭ Major,4
57,Class of 2013 - Audiotree Live Version,Mitski,54,109,"brooklyn indie, pov: indie","Rock, Pop",Mitski on Audiotree Live,31/07/2015,02:11,19,12,88,0,4,0,10,-13,D Major,3
58,Last Words of a Shooting Star - Audiotree Live Version,Mitski,47,65,"brooklyn indie, pov: indie","Rock, Pop",Mitski on Audiotree Live,31/07/2015,02:57,30,4,95,0,9,0,10,-22,D Major,3
59,Liquid Smooth - Audiotree Live Version,Mitski,46,75,"brooklyn indie, pov: indie","Rock, Pop",Mitski on Audiotree Live,31/07/2015,02:51,31,19,93,0,16,0,10,-14,A#/B♭ Major,4
