#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature
1,Do I Wanna Know?,Arctic Monkeys,89,85,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,AM,09/09/2013,04:32,55,53,19,0,41,0,20,-8,F Major,4
2,R U Mine?,Arctic Monkeys,84,97,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,AM,09/09/2013,03:21,29,76,1,0,62,0,30,-6,F#/G♭ Minor,4
3,One For The Road,Arctic Monkeys,71,180,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,AM,09/09/2013,03:26,42,67,21,6,84,0,20,-7,C Major,4
4,Arabella,Arctic Monkeys,79,180,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,AM,09/09/2013,03:27,58,56,2,0,51,0,20,-7,D Major,4
5,I Want It All,Arctic Monkeys,67,131,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,AM,09/09/2013,03:05,50,81,0,7,29,0,0,-6,F Major,4
6,No. 1 Party Anthem,Arctic Monkeys,72,115,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,AM,09/09/2013,04:03,51,70,33,9,60,0,10,-6,C Major,4
7,Mad Sounds,Arctic Monkeys,65,80,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,AM,09/09/2013,03:35,53,46,28,20,49,0,10,-11,A#/B♭ Major,4
8,Fireside,Arctic Monkeys,69,100,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,AM,09/09/2013,03:01,54,95,2,0,74,0,10,-6,A Minor,4
9,Why'd You Only Call Me When You're High?,Arctic Monkeys,89,92,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,AM,09/09/2013,02:41,69,63,5,0,80,0,10,-6,D Major,4
10,Snap Out Of It,Arctic Monkeys,81,130,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,AM,09/09/2013,03:13,73,64,25,0,87,0,10,-6,F Minor,4
11,Knee Socks,Arctic Monkeys,77,98,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,AM,09/09/2013,04:17,67,54,12,0,59,0,30,-8,B Minor,4
12,I Wanna Be Yours,Arctic Monkeys,94,68,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,AM,09/09/2013,03:03,46,42,14,2,48,0,10,-9,C Minor,4
13,Brianstorm,Arctic Monkeys,72,165,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,Favourite Worst Nightmare,22/04/2007,02:52,42,97,0,0,46,10,0,-5,C♯/D♭ Major,4
14,Teddy Picker,Arctic Monkeys,73,150,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,Favourite Worst Nightmare,22/04/2007,02:45,64,96,0,0,82,0,0,-5,A Major,4
15,D is for Dangerous,Arctic Monkeys,63,145,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,Favourite Worst Nightmare,22/04/2007,02:18,56,93,0,0,77,0,0,-5,C♯/D♭ Major,4
16,Balaclava,Arctic Monkeys,63,138,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,Favourite Worst Nightmare,22/04/2007,02:51,41,81,0,0,76,0,30,-4,B Minor,4
17,Fluorescent Adolescent,Arctic Monkeys,80,112,"garage rock, modern rock, permanent wave, rock, sheffield indie",Rock,Favourite Worst Nightmare,22/04/2007,03:03,65,83,0,0,79,0,10,-5,C♯/D♭ Minor,4
