#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature
5,Rhiannon - 2017 Remaster,Fleetwood Mac,54,130,"album rock, classic rock, rock, soft rock, yacht rock",Rock,Fleetwood Mac (Deluxe Edition),11/07/1975,04:10,73,60,22,14,80,0,10,-10,A Minor,4
6,Crystal - 2017 Remaster,Fleetwood Mac,31,124,"album rock, classic rock, rock, soft rock, yacht rock",Rock,Fleetwood Mac (Deluxe Edition),11/07/1975,05:11,56,29,62,0,20,0,10,-13,E Minor,3
7,Landslide - 2017 Remaster,Fleetwood Mac,38,160,"album rock, classic rock, rock, soft rock, yacht rock",Rock,Fleetwood Mac (Deluxe Edition),11/07/1975,03:19,43,30,85,0,47,0,10,-15,G Minor,4
8,"Why - Live from the Burbank Studios, Burbank, CA, 1/26/76",Fleetwood Mac,24,141,"album rock, classic rock, rock, soft rock, yacht rock",Rock,Fleetwood Mac (Deluxe Edition),11/07/1975,04:00,39,27,27,0,38,0,40,-17,F#/G♭ Minor,4
9,Dreams - 2004 Remaster,Fleetwood Mac,87,120,"album rock, classic rock, rock, soft rock, yacht rock",Rock,Rumours (Super Deluxe),04/02/1977,04:17,83,49,6,0,79,0,10,-10,C Major,4
10,The Chain - 2004 Remaster,Fleetwood Mac,84,152,"album rock, classic rock, rock, soft rock, yacht rock",Rock,Rumours (Super Deluxe),04/02/1977,04:30,55,67,1,0,48,0,0,-9,A Major,4
11,I Don't Want to Know - 2004 Remaster,Fleetwood Mac,53,139,"album rock, classic rock, rock, soft rock, yacht rock",Rock,Rumours (Super Deluxe),04/02/1977,03:16,72,70,6,1,94,0,0,-7,B Major,4
12,Gold Dust Woman - 2004 Remaster,Fleetwood Mac,54,123,"album rock, classic rock, rock, soft rock, yacht rock",Rock,Rumours (Super Deluxe),04/02/1977,04:55,67,60,26,0,70,0,30,-9,G Major,4
13,"Silver Springs - Sessions, Roughs & Outtakes; 2004 Remaster",Fleetwood Mac,35,178,"album rock, classic rock, rock, soft rock, yacht rock",Rock,Rumours (Super Deluxe),04/02/1977,06:07,30,50,9,8,32,0,60,-10,C Major,4
14,Planets of the Universe - Demo; 2013 Remaster,Fleetwood Mac,38,92,"album rock, classic rock, rock, soft rock, yacht rock",Rock,Rumours (Super Deluxe),04/02/1977,04:27,36,11,96,0,13,0,10,-17,A Minor,5
15,"Whenever I Call You Friend"" (feat. Stevie Nicks)""","Kenny Loggins,Stevie Nicks",58,130,"album rock, classic rock, heartland rock, mellow gold, new wave pop, singer-songwriter, soft rock, yacht rock","Rock, Pop, Folk/Acoustic",Nightwatch,1978,03:57,46,55,11,0,69,0,10,-13,C Major,4
16,Sara - 2015 Remaster,Fleetwood Mac,55,127,"album rock, classic rock, rock, soft rock, yacht rock",Rock,Tusk (Deluxe Edition),12/10/1979,06:30,74,48,28,2,53,0,10,-13,A#/B♭ Major,4
17,Storms - 2015 Remaster,Fleetwood Mac,37,107,"album rock, classic rock, rock, soft rock, yacht rock",Rock,Tusk (Deluxe Edition),12/10/1979,05:30,73,28,88,1,28,0,10,-15,B Minor,4
18,Sisters of the Moon - 2015 Remaster,Fleetwood Mac,59,115,"album rock, classic rock, rock, soft rock, yacht rock",Rock,Tusk (Deluxe Edition),12/10/1979,04:43,69,53,3,40,46,0,10,-9,A Minor,4
19,Angel - 2015 Remaster,Fleetwood Mac,33,117,"album rock, classic rock, rock, soft rock, yacht rock",Rock,Tusk (Deluxe Edition),12/10/1979,04:54,82,55,9,1,97,0,0,-10,G Major,4
20,Beautiful Child - 2015 Remaster,Fleetwood Mac,39,126,"album rock, classic rock, rock, soft rock, yacht rock",Rock,Tusk (Deluxe Edition),12/10/1979,05:21,65,18,72,0,15,0,0,-15,A Minor,4
