#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature
1,Born To Die,Lana Del Rey,57,76,"art pop, pop",Pop,Born To Die,30/01/2012,04:46,18,64,21,0,39,0,20,-7,E Minor,3
2,Off To The Races,Lana Del Rey,53,160,"art pop, pop",Pop,Born To Die,30/01/2012,04:59,40,72,6,0,14,0,40,-6,E Minor,4
3,Blue Jeans,Lana Del Rey,53,118,"art pop, pop",Pop,Born To Die,30/01/2012,03:29,56,84,42,0,50,0,0,-4,D#/E♭ Major,4
4,Video Games,Lana Del Rey,56,122,"art pop, pop",Pop,Born To Die,30/01/2012,04:41,39,26,81,0,18,0,0,-10,F#/G♭ Minor,4
5,Diet Mountain Dew,Lana Del Rey,58,176,"art pop, pop",Pop,Born To Die,30/01/2012,03:42,46,68,28,0,59,0,40,-6,A#/B♭ Minor,4
6,National Anthem,Lana Del Rey,54,85,"art pop, pop",Pop,Born To Die,30/01/2012,03:50,54,90,55,0,42,20,10,-6,C Minor,4
7,Dark Paradise,Lana Del Rey,52,120,"art pop, pop",Pop,Born To Die,30/01/2012,04:03,59,64,12,0,40,0,10,-8,C♯/D♭ Minor,4
8,Radio,Lana Del Rey,58,75,"art pop, pop",Pop,Born To Die,30/01/2012,03:34,31,84,22,0,19,0,0,-5,D Major,4
9,Carmen,Lana Del Rey,50,100,"art pop, pop",Pop,Born To Die,30/01/2012,04:08,49,43,9,0,4,0,10,-10,C♯/D♭ Minor,4
10,Million Dollar Man,Lana Del Rey,53,197,"art pop, pop",Pop,Born To Die,30/01/2012,03:50,20,58,48,0,53,0,0,-6,D#/E♭ Minor,3
11,Summertime Sadness,Lana Del Rey,53,112,"art pop, pop",Pop,Born To Die,30/01/2012,04:24,56,65,5,0,22,0,10,-7,C♯/D♭ Minor,4
12,This Is What Makes Us Girls,Lana Del Rey,49,138,"art pop, pop",Pop,Born To Die,30/01/2012,03:58,53,83,11,2,42,10,20,-7,D Minor,4
13,Without You,Lana Del Rey,54,112,"art pop, pop",Pop,Born To Die - The Paradise Edition,12/11/2012,03:49,59,59,64,0,67,0,10,-8,F#/G♭ Major,4
14,Lolita,Lana Del Rey,57,136,"art pop, pop",Pop,Born To Die - The Paradise Edition,12/11/2012,03:40,49,95,7,0,13,10,30,-4,C Minor,4
15,Lucky Ones,Lana Del Rey,50,135,"art pop, pop",Pop,Born To Die - The Paradise Edition,12/11/2012,03:45,38,42,78,0,27,0,20,-7,C Major,4
16,Ride,Lana Del Rey,62,94,"art pop, pop",Pop,Born To Die - The Paradise Edition,12/11/2012,04:49,37,69,13,0,19,0,30,-6,C Major,4
17,American,Lana Del Rey,52,144,"art pop, pop",Pop,Born To Die - The Paradise Edition,12/11/2012,04:08,40,59,54,0,18,0,10,-7,G Major,4
18,Cola,Lana Del Rey,58,110,"art pop, pop",Pop,Born To Die - The Paradise Edition,12/11/2012,04:20,30,67,7,0,12,0,50,-6,C♯/D♭ Minor,4
19,Body Electric,Lana Del Rey,50,168,"art pop, pop",Pop,Born To Die - The Paradise Edition,12/11/2012,03:53,25,49,47,0,10,0,0,-9,C♯/D♭ Minor,3
20,Blue Velvet,Lana Del Rey,49,85,"art pop, pop",Pop,Born To Die - The Paradise Edition,12/11/2012,02:38,19,32,81,7,25,0,20,-9,A#/B♭ Major,4
21,Gods & Monsters,Lana Del Rey,54,190,"art pop, pop",Pop,Born To Die - The Paradise Edition,12/11/2012,03:57,35,73,0,0,34,0,20,-6,G#/A♭ Minor,4
22,Yayo,Lana Del Rey,49,72,"art pop, pop",Pop,Born To Die - The Paradise Edition,12/11/2012,05:21,51,20,93,0,14,0,20,-13,D#/E♭ Minor,4
23,Bel Air,Lana Del Rey,48,84,"art pop, pop",Pop,Born To Die - The Paradise Edition,12/11/2012,03:57,35,42,86,9,30,0,90,-12,D Minor,4
24,Burning Desire,Lana Del Rey,64,132,"art pop, pop",Pop,Born To Die – Paradise Edition (Special Version),01/01/2012,03:51,48,64,84,0,16,10,10,-11,G Major,4
25,Cruel World,Lana Del Rey,67,122,"art pop, pop",Pop,Ultraviolence (Deluxe),01/01/2014,06:39,33,51,27,0,18,0,10,-6,F Minor,4
26,Ultraviolence,Lana Del Rey,77,79,"art pop, pop",Pop,Ultraviolence (Deluxe),01/01/2014,04:11,14,54,28,0,9,0,10,-7,C Major,3
27,Shades Of Cool,Lana Del Rey,71,138,"art pop, pop",Pop,Ultraviolence (Deluxe),01/01/2014,05:42,26,48,55,2,9,0,20,-7,D Minor,3
28,Brooklyn Baby,Lana Del Rey,83,108,"art pop, pop",Pop,Ultraviolence (Deluxe),01/01/2014,05:51,40,66,54,0,9,0,10,-7,C♯/D♭ Major,4
29,West Coast,Lana Del Rey,86,123,"art pop, pop",Pop,Ultraviolence (Deluxe),01/01/2014,04:16,53,59,19,2,46,0,0,-8,F#/G♭ Minor,4
30,Sad Girl,Lana Del Rey,79,119,"art pop, pop",Pop,Ultraviolence (Deluxe),01/01/2014,05:17,35,59,54,7,26,0,10,-8,F Major,4
31,Pretty When You Cry,Lana Del Rey,79,109,"art pop, pop",Pop,Ultraviolence (Deluxe),01/01/2014,03:54,51,55,40,0,20,0,20,-7,A#/B♭ Minor,4
32,Money Power Glory,Lana Del Rey,68,137,"art pop, pop",Pop,Ultraviolence (Deluxe),01/01/2014,04:30,35,53,58,0,29,0,30,-7,G#/A♭ Minor,5
33,Fucked My Way Up To The Top,Lana Del Rey,67,130,"art pop, pop",Pop,Ultraviolence (Deluxe),01/01/2014,03:32,52,69,60,20,18,0,10,-6,F Major,4
34,Old Money,Lana Del Rey,70,108,"art pop, pop",Pop,Ultraviolence (Deluxe),01/01/2014,04:31,31,17,89,0,15,0,10,-12,A#/B♭ Minor,1
35,The Other Woman,Lana Del Rey,77,112,"art pop, pop",Pop,Ultraviolence (Deluxe),01/01/2014,03:01,26,47,82,25,18,0,30,-6,G Minor,4
36,Black Beauty,Lana Del Rey,70,120,"art pop, pop",Pop,Ultraviolence (Deluxe),01/01/2014,05:14,32,53,27,1,10,0,0,-8,F Major,4
37,Guns And Roses,Lana Del Rey,62,109,"art pop, pop",Pop,Ultraviolence (Deluxe),01/01/2014,04:30,53,67,30,1,34,0,10,-9,G#/A♭ Minor,4
38,Florida Kilos,Lana Del Rey,68,201,"art pop, pop",Pop,Ultraviolence (Deluxe),01/01/2014,04:16,27,51,28,0,58,0,10,-8,C Major,4
39,Honeymoon,Lana Del Rey,65,75,"art pop, pop",Pop,Honeymoon,18/09/2015,05:50,17,27,95,1,17,0,10,-13,F Minor,3
40,Music To Watch Boys To,Lana Del Rey,70,132,"art pop, pop",Pop,Honeymoon,18/09/2015,04:50,40,49,71,0,13,0,20,-8,C♯/D♭ Minor,4
41,Terrence Loves You,Lana Del Rey,61,102,"art pop, pop",Pop,Honeymoon,18/09/2015,04:50,30,25,98,2,9,0,10,-10,G Major,1
42,God Knows I Tried,Lana Del Rey,62,81,"art pop, pop",Pop,Honeymoon,18/09/2015,04:40,40,43,85,3,11,0,10,-8,F Minor,3
43,High By The Beach,Lana Del Rey,73,132,"art pop, pop",Pop,Honeymoon,18/09/2015,04:17,54,49,24,1,10,0,10,-11,B Minor,4
44,Freak,Lana Del Rey,71,94,"art pop, pop",Pop,Honeymoon,18/09/2015,04:55,29,43,27,0,11,0,30,-10,F Minor,4
45,Art Deco,Lana Del Rey,79,148,"art pop, pop",Pop,Honeymoon,18/09/2015,04:55,28,46,54,22,6,0,10,-11,B Minor,5
46,Burnt Norton - Interlude,Lana Del Rey,56,86,"art pop, pop",Pop,Honeymoon,18/09/2015,01:21,28,30,90,81,52,0,10,-19,G#/A♭ Major,3
