#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature
1,Tim McGraw,Taylor Swift,70,76,pop,Pop,Taylor Swift,24/10/2006,03:52,58,49,57,0,43,0,10,-6,C Major,4
2,Picture To Burn,Taylor Swift,74,106,pop,Pop,Taylor Swift,24/10/2006,02:53,66,88,17,0,82,0,10,-2,G Major,4
3,Teardrops On My Guitar - Radio Single Remix,Taylor Swift,71,100,pop,Pop,Taylor Swift,24/10/2006,03:23,62,42,29,0,29,0,10,-7,A#/Bâ™­ Major,4
4,A Place in this World,Taylor Swift,62,115,pop,Pop,Taylor Swift,24/10/2006,03:19,58,78,5,0,43,0,30,-3,A Major,4
5,Cold As You,Taylor Swift,62,176,pop,Pop,Taylor Swift,24/10/2006,03:59,42,48,22,0,26,0,10,-6,F Major,4
6,The Outside,Taylor Swift,60,113,pop,Pop,Taylor Swift,24/10/2006,03:27,59,81,0,0,59,0,20,-4,F Major,4
7,Tied Together with a Smile,Taylor Swift,61,146,pop,Pop,Taylor Swift,24/10/2006,04:08,48,58,53,0,19,0,0,-5,D Major,4
8,Stay Beautiful,Taylor Swift,61,132,pop,Pop,Taylor Swift,24/10/2006,03:56,59,63,9,0,50,0,10,-5,G#/Aâ™­ Major,4
9,Should've Said No,Taylor Swift,71,168,pop,Pop,Taylor Swift,24/10/2006,04:02,48,78,1,0,47,0,20,-4,E Minor,4
10,Mary's Song (Oh My My My),Taylor Swift,63,75,pop,Pop,Taylor Swift,24/10/2006,03:33,40,63,2,0,37,0,10,-5,D Major,4
11,Our Song,Taylor Swift,78,89,pop,Pop,Taylor Swift,24/10/2006,03:21,67,67,11,0,54,0,30,-5,D Major,4
12,I'm Only Me When I'm With You,Taylor Swift,64,144,pop,Pop,Taylor Swift,24/10/2006,03:33,56,93,0,0,52,0,10,-4,G#/Aâ™­ Major,4
13,Invisible,Taylor Swift,60,96,pop,Pop,Taylor Swift,24/10/2006,03:23,61,39,64,0,23,0,10,-6,G Major,4
14,A Perfectly Good Heart,Taylor Swift,59,156,pop,Pop,Taylor Swift,24/10/2006,03:40,48,75,0,0,27,0,10,-6,E Major,4
15,Teardrops on My Guitar - Pop Version,Taylor Swift,59,200,pop,Pop,Taylor Swift,24/10/2006,02:59,46,75,4,0,48,0,0,-4,A#/Bâ™­ Major,4
16,Last Christmas,Taylor Swift,52,116,pop,Pop,The Taylor Swift Holiday Collection,02/12/2008,03:28,70,77,31,0,69,0,10,-5,F Major,4
17,Christmases When You Were Mine,Taylor Swift,46,79,pop,Pop,The Taylor Swift Holiday Collection,02/12/2008,03:04,63,21,65,0,39,0,0,-13,G Major,4
