#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature
1,Chicken Fried,Zac Brown Band,82,170,"contemporary country, country, country road, modern country rock","Country, Rock",The Foundation,17/11/2008,03:58,57,71,65,0,81,0,10,-4,F#/G♭ Major,4
2,Knee Deep (feat. Jimmy Buffett),"Zac Brown Band,Jimmy Buffett",77,91,"contemporary country, country, country road, modern country rock, trop rock","Country, Rock",You Get What You Give,20/09/2010,03:23,72,58,43,0,61,0,10,-8,G#/A♭ Major,4
3,Homegrown,Zac Brown Band,73,105,"contemporary country, country, country road, modern country rock","Country, Rock",JEKYLL + HYDE,28/04/2015,03:25,71,81,2,0,94,0,0,-4,F#/G♭ Major,4
4,Island Song,Zac Brown Band,65,146,"contemporary country, country, country road, modern country rock","Country, Rock",Uncaged,06/07/2012,03:43,85,70,21,0,89,0,10,-6,G#/A♭ Major,4
5,Toes,Zac Brown Band,76,130,"contemporary country, country, country road, modern country rock","Country, Rock",The Foundation,17/11/2008,04:22,80,76,66,0,82,0,0,-5,B Major,4
6,Colder Weather,Zac Brown Band,73,136,"contemporary country, country, country road, modern country rock","Country, Rock",You Get What You Give,20/09/2010,04:33,67,38,46,0,20,0,10,-7,D#/E♭ Major,4
7,Castaway,Zac Brown Band,66,101,"contemporary country, country, country road, modern country rock","Country, Rock",JEKYLL + HYDE,28/04/2015,03:08,63,78,15,0,93,0,10,-5,G#/A♭ Major,4
8,Same Boat,Zac Brown Band,63,172,"contemporary country, country, country road, modern country rock","Country, Rock",The Comeback,15/10/2021,03:10,49,84,5,0,66,0,0,-5,F#/G♭ Major,4
9,Whatever It Is,Zac Brown Band,71,84,"contemporary country, country, country road, modern country rock","Country, Rock",The Foundation,17/11/2008,03:28,69,58,44,0,72,0,20,-7,C♯/D♭ Major,4
10,As She's Walking Away (feat. Alan Jackson),"Zac Brown Band,Alan Jackson",68,184,"contemporary country, country, country road, modern country rock","Country, Rock",You Get What You Give,20/09/2010,03:43,55,62,48,0,38,0,10,-7,D#/E♭ Major,4
11,Loving You Easy,Zac Brown Band,66,99,"contemporary country, country, country road, modern country rock","Country, Rock",JEKYLL + HYDE,28/04/2015,02:35,72,59,1,0,36,0,0,-4,C♯/D♭ Major,4
12,Jump Right In,Zac Brown Band,63,104,"contemporary country, country, country road, modern country rock","Country, Rock",Uncaged,06/07/2012,03:00,70,82,9,0,65,0,10,-5,C♯/D♭ Major,4
13,Free,Zac Brown Band,69,76,"contemporary country, country, country road, modern country rock","Country, Rock",The Foundation,17/11/2008,03:48,45,41,24,0,28,0,10,-8,C♯/D♭ Major,4
14,Keep Me in Mind,Zac Brown Band,64,96,"contemporary country, country, country road, modern country rock","Country, Rock",You Get What You Give,20/09/2010,03:34,68,72,16,0,56,0,10,-6,F#/G♭ Major,4
15,Out In The Middle,"Zac Brown Band,Blake Shelton",61,166,"contemporary country, country, country road, modern country rock, classic oklahoma country","Country, Rock",The Comeback (Deluxe),30/09/2022,02:46,52,87,2,0,62,0,10,-3,C♯/D♭ Major,4
16,Wild Palomino,Zac Brown Band,61,120,"contemporary country, country, country road, modern country rock","Country, Rock",The Comeback,15/10/2021,03:18,63,38,71,0,16,0,10,-9,C♯/D♭ Major,4
